ticket_id,text,category,priority
TKT-11860,Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-10353,"The UI looks slightly broken on Safari, minor layout issue. Thanks in advance.",Technical Issue,Low
TKT-11333,"Good morning, Can you add keyboard shortcuts for common actions?",Feature Request,Medium
TKT-10905,Can you explain how your data backup and recovery process works? Thanks in advance.,General Query,Medium
TKT-11289,"Hi support team, Could you support emoji reactions on comments? Please help.",Feature Request,Low
TKT-11273,The mobile app crashes whenever I try to upload an image.,Technical Issue,Medium
TKT-10938,Notification emails are arriving with some formatting issues. Thanks in advance.,Technical Issue,Low
TKT-11731,"Hello, Notification emails are arriving with some formatting issues. Thanks in advance.",Technical Issue,Low
TKT-10065,"Hello, Legal team needs your data processing agreement urgently for contract signing. This is affecting my work.",General Query,High
TKT-11323,"Good morning, Can I add a profile picture to my account?",Account,Low
TKT-10056,Would be nice to have more color themes available.,Feature Request,Low
TKT-11292,Urgent: I have a question about my invoice from last month.,Billing,Medium
TKT-11118,"Hello, I have a question about my invoice from last month. Please help.",Billing,Medium
TKT-10584,Can you explain the charge on my latest billing statement? This is affecting my work.,Billing,Medium
TKT-10374,"Hi support team, What integrations do you support with third-party tools?",General Query,Medium
TKT-10275,Does your platform support GDPR compliance features? Please help.,General Query,Medium
TKT-10746,We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow. This is affecting my work.,General Query,High
TKT-10128,"Good morning, We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow. This is affecting my work.",General Query,High
TKT-11646,"Hello, Do you offer a free trial for new users? Please help.",General Query,Low
TKT-11852,Urgent: Do you offer annual billing discounts? Thanks in advance.,Billing,Low
TKT-10674,Does your platform support GDPR compliance features? Please help.,General Query,Medium
TKT-11664,Do you offer annual billing discounts?,Billing,Low
TKT-11981,I was charged twice for my subscription this month. Please refund immediately.,Billing,High
TKT-11083,"Hello, It would be great to have a calendar view for task management. This is affecting my work.",Feature Request,Medium
TKT-11922,"Good morning, My credit card was billed without authorization. This needs urgent attention. This is affecting my work.",Billing,High
TKT-10099,Do you offer a free trial for new users?,General Query,Low
TKT-11179,"Hello, When does my billing cycle reset each month? Thanks in advance.",Billing,Low
TKT-10964,"Hi support team, Dashboard widgets are not loading properly on Chrome browser. Please help.",Technical Issue,Medium
TKT-10792,"Hi support team, I would like to downgrade my plan and understand the billing impact.",Billing,Medium
TKT-10029,"Good morning, API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.",Technical Issue,High
TKT-10628,"Hello, How do I add a team member with limited permissions to my account? This is affecting my work.",Account,Medium
TKT-10944,Please add the ability to pin important messages. Thanks in advance.,Feature Request,Low
TKT-10572,"Hi support team, Do you have a public API documentation page? Please help.",General Query,Low
TKT-10907,"Hi support team, What is your uptime SLA and how do you handle planned maintenance? Please help.",General Query,Medium
TKT-11080,Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-10450,Urgent: Do you offer annual billing discounts?,Billing,Low
TKT-11609,Your service is completely down. We cannot access the platform at all. Thanks in advance.,Technical Issue,High
TKT-11290,Would be nice to have more color themes available.,Feature Request,Low
